AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr,Sector
Canara,Canara Robeco Small Cap Fund Direct Growth,Equity,Very High Risk,5.0,20.09,44.48,,Banking
Canara,Canara Robeco Infrastructure Direct Growth,Equity,Very High Risk,3.0,19.18,28.9,12.8,Banking
Canara,Canara Robeco Consumer Trends Fund Direct Growth,Equity,Very High Risk,4.0,10.39,26.07,16.91,Banking
Canara,Canara Robeco Equity Tax Saver Direct Growth,Equity,Very High Risk,5.0,3.12,25.81,17.19,Banking
Canara,Canara Robeco Emerging Equities Fund Direct Growth,Equity,Very High Risk,4.0,3.19,25.61,14.49,Banking
Canara,Canara Robeco Flexi Cap Fund Direct Growth,Equity,Very High Risk,4.0,0.61,22.73,15.14,Banking
Canara,Canara Robeco Bluechip Equity Fund Direct Growth,Equity,Very High Risk,5.0,0.28,21.62,15.22,Banking
Canara,Canara Robeco Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,4.0,1.86,18.77,13.1,Banking
Canara,Canara Robeco Conservative Hybrid Fund Direct Growth,Hybrid,Moderate Risk,5.0,3.36,11.18,8.95,Banking
Canara,Canara Robeco Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.65,5.93,6.47,Banking
Canara,Canara Robeco Short Duration Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.64,5.71,6.31,Banking
Canara,Canara Robeco Income Direct Growth,Debt,Moderate Risk,3.0,1.79,5.65,6.38,Banking
Canara,Canara Robeco Gilt Fund Direct Growth,Debt,Moderate Risk,3.0,2.22,5.12,5.73,Banking
Canara,Canara Robeco Dynamic Bond Fund Direct Growth,Debt,Moderate Risk,3.0,2.57,5.1,5.47,Banking
Canara,Canara Robeco Savings Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.51,4.88,5.94,Banking
Canara,Canara Robeco Ultra Short Term Fund Direct Growth,Debt,Low to Moderate Risk,2.0,3.62,4.31,5.35,Banking
Canara,Canara Robeco Liquid Direct Plan Growth,Debt,Low to Moderate Risk,2.0,3.94,3.84,5.12,Banking
Canara,Canara Robeco Overnight Fund Direct Growth,Debt,Low Risk,2.0,3.84,3.67,,Banking
Canara,Canara Robeco Banking and PSU Debt Fund Direct Growth,Debt,Low to Moderate Risk,3.0,,,,Banking
Canara,Canara Robeco Focused Equity Fund Direct Growth,Equity,Very High Risk,3.0,5.05,,,Banking
Canara,Canara Robeco Value Fund Direct Growth,Equity,Very High Risk,3.0,13.7,,,Banking
Bank,Bank of India Small Cap Fund Direct Growth,Equity,Very High Risk,5.0,13.16,44.13,,Banking
Bank,Bank of India Manufacturing & Infrastructure Direct Growth,Equity,Very High Risk,4.0,13.29,30.94,16.09,Banking
Bank,Bank of India Tax Advantage Direct Growth,Equity,Very High Risk,4.0,0.29,28.45,16.1,Banking
Bank,Bank of India Mid & Small Cap Equity & Debt Fund Direct Growth,Hybrid,Very High Risk,4.0,2.45,28.28,13.46,Banking
Bank,Bank of India Large & Mid Cap Equity Fund Direct Growth,Equity,Very High Risk,3.0,4.53,22.7,11.69,Banking
Bank,Bank of India Conservative Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,3.0,21.73,15.41,7.02,Banking
Bank,Bank of India Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,2.0,14.12,11.6,5.35,Banking
Bank,Bank of India Short Term Income Fund Direct Growth,Debt,Moderate Risk,5.0,17.97,7.4,2.54,Banking
Bank,Bank of India Ultra Short Duration Fund Direct Growth,Debt,Low to Moderate Risk,2.0,3.72,4.43,5.78,Banking
Bank,Bank of India Liquid Fund Direct Growth,Debt,Low to Moderate Risk,3.0,4.07,4.06,5.32,Banking
Bank,Bank of India Arbitrage Fund Direct Growth,Hybrid,Low Risk,2.0,2.69,3.37,,Banking
Bank,Bank of India Bluechip Fund Direct Growth,Equity,Very High Risk,3.0,-2.87,,,Banking
Bank,Bank of India Flexi Cap Fund Direct Growth,Equity,Very High Risk,5.0,5.89,,,Banking
Bank,Bank of India Overnight Fund Direct Growth,Debt,Low Risk,5.0,3.98,,,Banking
Kotak,Kotak Small Cap Fund Direct Growth,Equity,Very High Risk,4.0,10.06,39.13,19.66,Banking
Kotak,Kotak Emerging Equity Fund Direct Growth,Equity,Very High Risk,4.0,11.21,30.83,17.03,Banking
Kotak,Kotak Infrastructure and Economic Reform Fund Direct Growth,Equity,Very High Risk,4.0,18.56,26.99,13.24,Banking
Kotak,Kotak Equity Opportunities Fund Direct Growth,Equity,Very High Risk,4.0,6.49,23.37,14.1,Banking
Kotak,Kotak Tax Saver Fund Direct Growth,Equity,Very High Risk,4.0,7.16,22.95,14.31,Banking
Kotak,Kotak Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,4.0,8.54,21.42,13.63,Banking
Kotak,Kotak India EQ Contra Fund Direct Growth,Equity,Very High Risk,4.0,5.06,21.16,14.85,Banking
Kotak,Kotak Bluechip Fund Direct Growth,Equity,Very High Risk,5.0,1.62,20.56,13.54,Banking
Kotak,Kotak Focused Equity Fund Direct Growth,Equity,Very High Risk,3.0,4.39,20.54,,Banking
Kotak,Kotak Multi Asset Allocator FoF Dynamic Direct Growth,Other,Very High Risk,3.0,7.69,20.33,14.51,Banking
Kotak,Kotak Flexicap Fund Direct Growth,Equity,Very High Risk,3.0,2.29,17.91,12.05,Banking
Kotak,Kotak Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,4.0,4.52,13.5,,Banking
Kotak,Kotak Global Emerging Market Fund Direct Growth,Other,Very High Risk,3.0,-6.23,13.49,10.77,Banking
Kotak,Kotak US Equity Fund Standard Direct Growth,Other,High Risk,1.0,17.14,13.24,11.67,Banking
Kotak,Kotak Debt Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,5.0,6.35,13.02,9.76,Banking
Kotak,Kotak Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,4.0,8.22,11.39,9.08,Banking
Kotak,Kotak Gold Fund Direct Growth,Other,High Risk,4.0,5.09,8.6,10.39,Banking
Kotak,Kotak Medium Term Fund Direct Growth,Debt,Moderate Risk,3.0,4.19,7.1,6.7,Banking
Kotak,Kotak Dynamic Bond Fund Direct Growth,Debt,Moderate Risk,4.0,3.08,6.83,7.58,Banking
Kotak,Kotak Floating Rate Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.03,6.66,,Banking
Kotak,Kotak Banking and PSU Debt Fund Direct Growth,Debt,Moderate Risk,4.0,3.48,6.64,7.24,Banking
Kotak,Kotak Gilt Investment PF & Trust Direct Growth,Debt,Low to Moderate Risk,3.0,2.24,6.59,7.0,Banking
Kotak,Kotak Bond Short Term Fund Direct Growth,Debt,Low to Moderate Risk,4.0,3.09,6.52,7.07,Banking
Kotak,Kotak Bond Fund Direct Growth,Debt,Moderate Risk,4.0,2.29,6.5,6.61,Banking
Kotak,Kotak Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,4.0,3.33,6.28,7.11,Banking
Kotak,Kotak Low Duration Fund Direct Growth,Debt,Moderate Risk,4.0,3.83,6.17,6.98,Banking
Kotak,Kotak Credit Risk Fund Direct Growth,Debt,Moderately High Risk,2.0,2.03,5.91,6.61,Banking
Kotak,Kotak Savings Fund Direct Growth,Debt,Low to Moderate Risk,4.0,4.08,5.05,6.16,Banking
Kotak,Kotak Money Market Fund Direct Growth,Debt,Low to Moderate Risk,3.0,4.16,4.88,6.08,Banking
Kotak,Kotak Equity Arbitrage Fund Direct Growth,Hybrid,Low Risk,4.0,4.4,4.76,5.59,Banking
Kotak,Kotak Liquid Direct Growth,Debt,Low to Moderate Risk,3.0,3.97,4.05,5.28,Banking
Kotak,Kotak Overnight Fund Direct Growth,Debt,Low Risk,3.0,3.86,3.64,,Banking
Kotak,Kotak Global Innovation FoF Direct Growth,Other,Very High Risk,3.0,-31.69,,,Banking
Kotak,Kotak Manufacture in India Fund Direct Growth,Equity,Very High Risk,3.0,,,,Banking
Kotak,Kotak Pioneer Fund Direct Growth,Equity,Very High Risk,3.0,-0.83,,,Banking
Kotak,Kotak Pioneer Fund Direct Growth,Equity,Very High Risk,3.0,-0.83,,,Banking
Kotak,Kotak Nasdaq 100 FOF Direct Growth,Other,Very High Risk,3.0,-15.08,,,Banking
Kotak,Kotak International REIT FOF Direct Growth,Other,Very High Risk,3.0,-1.71,,,Banking
Kotak,Kotak Nifty Next 50 Index Fund Direct Growth,Other,Very High Risk,3.0,4.45,,,Banking
Kotak,Kotak Multicap Fund Direct Growth,Equity,Very High Risk,3.0,,,,Banking
Kotak,Kotak Nifty 50 Index Fund Direct Growth,Other,Very High Risk,3.0,2.78,,,Banking
Kotak,Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund Direct Growth,Other,Moderate Risk,3.0,,,,Banking
Union,Union Small Cap Fund Direct Growth,Equity,Very High Risk,3.0,11.19,35.94,16.13,Banking
Union,Union Long Term Equity Fund Direct Growth,Equity,Very High Risk,4.0,4.33,23.17,14.05,Banking
Union,Union Flexi Cap Fund Direct Growth,Equity,Very High Risk,4.0,1.12,22.65,14.14,Banking
Union,Union Focused Fund Direct Growth,Equity,Moderately High Risk,4.0,1.92,22.22,,Banking
Union,Union Largecap Fund Direct Growth,Equity,Very High Risk,2.0,0.71,17.73,10.72,Banking
